Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
20-MAY-2016,7911.5,7929.2,7849.7,7863.35,247880788.0,8794.99
23-MAY-2016,7924.85,7925.85,7838.05,7844.6,246618846.0,8966.99
24-MAY-2016,7852.35,7868.9,7825.5,7857.0,256451681.0,8805.31
25-MAY-2016,7919.6,8036.45,7919.4,8029.85,307076578.0,10820.36
26-MAY-2016,8066.5,8170.65,8042.5,8159.05,439150180.0,16163.11
27-MAY-2016,8173.5,8260.7,8173.5,8251.9,400676887.0,14381.01
30-MAY-2016,8265.15,8297.0,8245.75,8276.1,372027711.0,11466.11
31-MAY-2016,8305.45,8305.45,8230.05,8254.8,809199588.0,28523.06
01-JUN-2016,8275.05,8312.9,8264.35,8272.6,366379828.0,11288.13
02-JUN-2016,8252.55,8324.8,8249.25,8314.4,310924981.0,10855.93
03-JUN-2016,8342.55,8359.45,8307.55,8316.4,509355072.0,13433.16
06-JUN-2016,8323.5,8331.1,8278.4,8292.45,264510153.0,9633.44
07-JUN-2016,8327.1,8381.75,8309.3,8354.2,347869886.0,12835.84
08-JUN-2016,8373.35,8374.3,8344.3,8366.25,282100777.0,9895.3
09-JUN-2016,8369.65,8369.65,8285.15,8302.9,299177326.0,10116.13
10-JUN-2016,8285.1,8360.9,8261.3,8267.45,295806585.0,9969.29
13-JUN-2016,8199.95,8219.85,8160.15,8207.45,256471761.0,9049.96
14-JUN-2016,8230.45,8230.45,8168.7,8208.7,245576140.0,7785.89
15-JUN-2016,8239.3,8308.4,8224.1,8301.45,270424714.0,8929.18
16-JUN-2016,8279.1,8279.1,8176.4,8243.65,322050062.0,10178.7
17-JUN-2016,8280.55,8297.15,8235.65,8268.9,286586315.0,9845.12
20-JUN-2016,8214.45,8339.45,8206.55,8334.3,291617774.0,9554.17
21-JUN-2016,8351.65,8351.65,8306.95,8321.15,255473469.0,8302.17
22-JUN-2016,8316.25,8339.4,8259.3,8307.45,232985195.0,8260.3
23-JUN-2016,8306.6,8379.2,8288.1,8366.35,266538569.0,8717.69
24-JUN-2016,8130.95,8201.45,8025.15,8192.85,497748969.0,16653.51
27-JUN-2016,8148.6,8234.7,8148.6,8210.25,265118178.0,9694.94
28-JUN-2016,8215.6,8263.45,8213.6,8248.45,270058968.0,10067.86
29-JUN-2016,8293.05,8334.7,8282.3,8326.7,283532640.0,9796.18
30-JUN-2016,8381.95,8430.15,8367.65,8416.2,476675326.0,16734.29
01-JUL-2016,8442.8,8491.05,8442.8,8469.85,288631827.0,10294.84
04-JUL-2016,8518.0,8543.05,8510.25,8516.6,283888993.0,9403.05
05-JUL-2016,8523.75,8523.75,8467.05,8485.5,276493951.0,8485.63
07-JUL-2016,8492.2,8508.75,8468.35,8485.6,295213094.0,10318.48
08-JUL-2016,8499.0,8499.0,8437.1,8476.05,260971665.0,9540.61
11-JUL-2016,8565.95,8629.2,8562.35,8622.2,285709774.0,10842.12
12-JUL-2016,8656.65,8683.4,8635.55,8678.65,339462810.0,11497.08
13-JUL-2016,8698.6,8703.9,8649.15,8671.7,402141418.0,12861.01
14-JUL-2016,8670.6,8720.95,8658.0,8716.7,294404472.0,10203.4
15-JUL-2016,8722.95,8752.85,8674.8,8700.1,368410408.0,15799.03
